"","governance_capacity","social_norm","agroecol_perspective_13","crop_type.cacao","dfs_adoption_binary","distance_main_road","household_shock_recover_capacity","numHA_nhlabour_permanent_total","num_info_exchange_extension","perception_associations_effectiveness","support_provider.cooperatives","training_participation","human_wellbeing_11"
"20240302_ElP",-0.490718622979914,-0.587143540304276,3,0,0,5,4,0.235294117647059,0,0,0,0,4
"20240302_IsV",0.0594454064289452,-0.582561838265738,4,0,0,5,4,0.333333333333333,0,0,0,0,4
"20240308_AlC",-1.22018111875563,-0.571229472451859,2,1,1,600,1,0.105263157894737,5,5,1,1,3
"20240309_ClC",-0.610250933891151,-0.571229472451859,2,1,1,400,1,0.0769230769230769,4,3,1,1,3
"20240309_GrD",-1.22018111875563,1.64097950535047,2,1,0,300,1,0.0555555555555556,3,4,1,1,3
"20240310_BeT",-1.22018111875563,1.64430726208977,2,1,0,600,2,0.04,4,4,1,1,3
"20240310_FeA",-0.490718622979914,1.60353478827413,2,1,0,350,1,0.117647058823529,4,4,1,1,3
"20240310_RoB",-0.550484778435533,-0.553498958027596,2,1,1,600,2,0.00666666666666667,4,3,1,1,3
"20240310_SaD",-0.610250933891151,1.6442619398066,2,1,1,600,2,0.0487804878048781,3,3,1,1,3
"20240311_DaC",-1.27994727421125,-0.557827539045932,2,1,1,450,2,0.0117647058823529,0,2,0,0,3
"20240311_HeC",-1.27994727421125,1.643423341429,3,1,0,400,1,0.08,0,1,0,0,3
"20240311_IsQ",-1.27994727421125,-0.557827539045932,3,1,1,150,2,0.0666666666666667,0,1,0,0,3
"20240311_JuC",-1.27994727421125,1.63993335878826,2,1,0,400,2,0.0285714285714286,0,3,0,0,3
"20240312_EzV",-0.550484778435533,1.59270867443664,2,1,1,1,1,0.05,5,4,1,1,3
"20240313_AnG",-1.27994727421125,-0.569625376112194,3,1,0,100,2,0.1,2,1,0,1,3
