main_crops_common_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Capsicum,,Numbers,,149449.2,,,,,,,,"179,612",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,612",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Carrots,,Kilograms,1,10674.94,,,,,,,,"179,613",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,613",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cassava,,Kilograms,1,17297.36,,,,,,,,"179,614",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,614",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cassava,,Pieces,,19768.41,,,,,,,,"179,615",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,615",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Chilli,,Kilograms,1,17297.36,,,,,,,,"179,616",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,616",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Coffee,,Kilograms,1,26687.36,,,,,,,,"179,617",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,617",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Coriander,,Acre,,2.471052,,,,,,,,"179,618",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,618",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Coriander,,Bunches,,79073.65,2000,4000,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,,,,"179,619",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,2000,4000,,,"179,619",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Coriander,,Kilograms,1,1606.184,1200,1500,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf,,,,,"179,620",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1200,1500,,,"179,620",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Courgette,,Kilograms,1,63423.66,,,,,,,,"179,621",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,621",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Courgette,,Pieces,,889.5786,,,,,,,,"179,622",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,622",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cowpeas,,Kilograms,1,22239.46,1618,2350,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,7.2 (N) + 50 (DAP),,https://statistics.kilimo.go.ke/files/bookpage/KARI_Use_of_Organic_and_anorganic_fertilizers_MaizeVegetables_finger_millet_kenya_.pdf ,"179,623",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1618,2350,57.5,,"179,623",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Cowpeas leaves,,Kilograms,1,1945.953,12000,15000,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,,,,"179,624",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,12000,15000,,,"179,624",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Eggplant,,Kilograms,1,1853.289,,,,,,,,"179,625",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,625",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Ethiopian kale,,Acre,,2.471052,,,,,,,,"179,626",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,626",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Ethiopian kale,,Kilograms,1,53374.72,50000,60000,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf,,,,,"179,627",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,50000,60000,,,"179,627",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Fodder maize,,Heaps,,1186.105,,,,,,,,"179,628",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,628",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Gojets,,Kilograms,1,17516.32,,,,,,,,"179,629",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,629",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Green chilli,,Kilograms,1,296.5262,,,,,,,,"179,630",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,630",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Green gram,,Kilograms,1,2446.341,1833,2233,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,124 (NPK),,https://www.kalro.org/navcdp/docs/Soil-Fertility-management-18.6.21-1.pdf#page=20.08 ,"179,631",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1833,2233,124,,"179,631",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Green peas,,Kilograms,1,790.7365,1800,3200,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,,,,"179,632",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1800,3200,,,"179,632",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Guava,,Pieces,,123552.6,,,,,,,,"179,633",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,633",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Hay,,Bales,,533.3333,,,,,,,123.5525,"179,634",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,634",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Honey,,Kilograms,1,397839.3,,,,,,,,"179,635",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,635",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Irish potatoes,,Bucket,,39.53683,,,,,,,,"179,636",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,636",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Irish potatoes,,Debe,,6435.03,,,,,,,,"179,637",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,637",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Irish potatoes,,Kilograms,1,41184.19,31566,39363,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,220 (DAP),,,https://www.apni.net/wp-content/uploads/2021/08/Kenya-Potato-Guide-0821-.pdf ,"179,638",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,31566,39363,,,"179,638",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Kales,,Bag,,494.2103,,,,,,,,"179,639",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,639",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Kales,,Bunches,,213498.9,,,,,,,,"179,640",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,640",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
